question,answer,context,id,task,direction,size
What is the sum of Row 2?,47,tables/arithmetic_10.tsv,nt-0,arithmetic,row,"(10, 10)"
What is the minimum of Col 3?,1,tables/arithmetic_10.tsv,nt-1,arithmetic,col,"(10, 10)"
What is the maximum of Row 3?,10,tables/arithmetic_8.tsv,nt-2,arithmetic,row,"(8, 8)"
What is the minimum of Col 8?,3,tables/arithmetic_8.tsv,nt-3,arithmetic,col,"(8, 8)"
What is the sum of Row 4?,25,tables/arithmetic_4.csv,nt-4,arithmetic,row,"(4, 4)"
What is the maximum of Col 4?,7,tables/arithmetic_4.csv,nt-5,arithmetic,col,"(4, 4)"
What is the minimum of Row 3?,1,tables/arithmetic_6.csv,nt-6,arithmetic,row,"(6, 6)"
What is the sum of Col 6?,41,tables/arithmetic_6.csv,nt-7,arithmetic,col,"(6, 6)"
What is the maximum of Row 12?,9,tables/arithmetic_12.tsv,nt-8,arithmetic,row,"(12, 12)"
What is the minimum of Col 8?,2,tables/arithmetic_12.tsv,nt-9,arithmetic,col,"(12, 12)"
List all items in Row 6,"H,R,Q,S,B,T,B,H,T,E",tables/item_10.csv,nt-10,item,row,"(10, 10)"
List all items in Col 8,"W,D,F,N,H,H,J,D,Y,H",tables/item_10.csv,nt-11,item,col,"(10, 10)"
What is the minimum of Row 9?,1,tables/arithmetic_10.html,nt-12,arithmetic,row,"(10, 10)"
What is the maximum of Col 5?,10,tables/arithmetic_10.html,nt-13,arithmetic,col,"(10, 10)"
List all items in Row 3,"K,E,Y,F,F,P,D,T,P,E,G,A",tables/item_12.csv,nt-14,item,row,"(12, 12)"
List all items in Col 12,"W,C,A,U,D,H,U,L,F,G,S,V",tables/item_12.csv,nt-15,item,col,"(12, 12)"
List all items in Row 1,"C,M,C,W,S,Z",tables/item_6.csv,nt-16,item,row,"(6, 6)"
List all items in Col 3,"C,Z,J,D,R,Y",tables/item_6.csv,nt-17,item,col,"(6, 6)"
List all items in Row 7,"D,M,Q,J,A,H,J,D",tables/item_8.tsv,nt-18,item,row,"(8, 8)"
List all items in Col 3,"D,C,B,L,Z,V,Q,S",tables/item_8.tsv,nt-19,item,col,"(8, 8)"
List all items in Row 3,"F,D,P,Z",tables/item_4.csv,nt-20,item,row,"(4, 4)"
List all items in Col 2,"P,P,D,K",tables/item_4.csv,nt-21,item,col,"(4, 4)"
List all items in Row 4,"F,V,L,D,Z,W",tables/item_6.html,nt-22,item,row,"(6, 6)"
List all items in Col 2,"C,U,G,V,A,J",tables/item_6.html,nt-23,item,col,"(6, 6)"
What is the sum of Row 8?,38,tables/arithmetic_8.html,nt-24,arithmetic,row,"(8, 8)"
What is the minimum of Col 7?,4,tables/arithmetic_8.html,nt-25,arithmetic,col,"(8, 8)"
List all items in Row 4,"A,Q,D,Q,Q,R,U,R,P,S,Q,N",tables/item_12.html,nt-26,item,row,"(12, 12)"
List all items in Col 6,"C,Y,Z,R,U,S,Q,J,G,G,T,K",tables/item_12.html,nt-27,item,col,"(12, 12)"
What is the minimum of Row 1?,2,tables/arithmetic_4.html,nt-28,arithmetic,row,"(4, 4)"
What is the maximum of Col 4?,8,tables/arithmetic_4.html,nt-29,arithmetic,col,"(4, 4)"
List all items in Row 2,"B,B,N,I",tables/item_4.tsv,nt-30,item,row,"(4, 4)"
List all items in Col 4,"H,I,W,C",tables/item_4.tsv,nt-31,item,col,"(4, 4)"
List all items in Row 3,"J,Z,Q,J,D,J,H,S",tables/item_8.csv,nt-32,item,row,"(8, 8)"
List all items in Col 8,"U,X,S,A,F,M,B,Q",tables/item_8.csv,nt-33,item,col,"(8, 8)"
List all items in Row 4,"C,Q,Z,L",tables/item_4.html,nt-34,item,row,"(4, 4)"
List all items in Col 3,"J,V,J,Z",tables/item_4.html,nt-35,item,col,"(4, 4)"
What is the minimum of Row 3?,1,tables/arithmetic_6.html,nt-36,arithmetic,row,"(6, 6)"
What is the maximum of Col 2?,8,tables/arithmetic_6.html,nt-37,arithmetic,col,"(6, 6)"
List all items in Row 3,"N,C,O,M,E,X,Z,O,U,M",tables/item_10.html,nt-38,item,row,"(10, 10)"
List all items in Col 4,"M,X,M,S,M,U,J,Q,K,A",tables/item_10.html,nt-39,item,col,"(10, 10)"
List all items in Row 2,"L,U,U,S,I,S,Z,Y",tables/item_8.html,nt-40,item,row,"(8, 8)"
List all items in Col 5,"A,I,C,M,J,K,Y,K",tables/item_8.html,nt-41,item,col,"(8, 8)"
List all items in Row 1,"A,Q,J,F,A,P",tables/item_6.tsv,nt-42,item,row,"(6, 6)"
List all items in Col 4,"F,F,X,Z,B,W",tables/item_6.tsv,nt-43,item,col,"(6, 6)"
List all items in Row 4,"E,N,F,Q,Z,A,R,S,Q,I,W,Y",tables/item_12.tsv,nt-44,item,row,"(12, 12)"
List all items in Col 8,"B,C,Q,S,V,G,H,B,W,A,G,W",tables/item_12.tsv,nt-45,item,col,"(12, 12)"
List all items in Row 5,"I,S,Y,E,T,X,E,J,S,B",tables/item_10.tsv,nt-46,item,row,"(10, 10)"
List all items in Col 5,"M,P,P,B,T,I,C,M,I,Z",tables/item_10.tsv,nt-47,item,col,"(10, 10)"
What is the minimum of Row 4?,3,tables/arithmetic_6.tsv,nt-48,arithmetic,row,"(6, 6)"
What is the sum of Col 6?,32,tables/arithmetic_6.tsv,nt-49,arithmetic,col,"(6, 6)"
What is the sum of Row 2?,69,tables/arithmetic_12.csv,nt-50,arithmetic,row,"(12, 12)"
What is the sum of Col 3?,67,tables/arithmetic_12.csv,nt-51,arithmetic,col,"(12, 12)"
What is the maximum of Row 1?,10,tables/arithmetic_10.csv,nt-52,arithmetic,row,"(10, 10)"
What is the sum of Col 4?,57,tables/arithmetic_10.csv,nt-53,arithmetic,col,"(10, 10)"
What is the maximum of Row 1?,10,tables/arithmetic_4.tsv,nt-54,arithmetic,row,"(4, 4)"
What is the sum of Col 3?,15,tables/arithmetic_4.tsv,nt-55,arithmetic,col,"(4, 4)"
What is the maximum of Row 5?,10,tables/arithmetic_8.csv,nt-56,arithmetic,row,"(8, 8)"
What is the sum of Col 8?,37,tables/arithmetic_8.csv,nt-57,arithmetic,col,"(8, 8)"
What is the sum of Row 11?,79,tables/arithmetic_12.html,nt-58,arithmetic,row,"(12, 12)"
What is the sum of Col 11?,70,tables/arithmetic_12.html,nt-59,arithmetic,col,"(12, 12)"
