question,answer,context,id,task,direction,size
what was the last year where this team was a part of the usl a-league?,2004,csv/204-csv/590.csv,nt-0,,,
in what city did piotr's last 1st place finish occur?,"Bangkok, Thailand",csv/204-csv/622.csv,nt-1,,,
which team won previous to crettyard?,Wolfe Tones,csv/204-csv/772.csv,nt-2,,,
how many more passengers flew to los angeles than to saskatoon from manzanillo airport in 2013?,"12,467",csv/203-csv/515.csv,nt-3,,,
who was the opponent in the first game of the season?,Derby County,csv/204-csv/495.csv,nt-4,,,
how many people stayed at least 3 years in office?,4,csv/203-csv/705.csv,nt-5,,,
who is the first away team on the chart,Varbergs GIF,csv/204-csv/361.csv,nt-6,,,
"which is deeper, lake tuz or lake palas tuzla?",Lake Palas Tuzla,csv/204-csv/341.csv,nt-7,,,
"after winning on four credits with a full house, what is your payout?",32,csv/203-csv/564.csv,nt-8,,,
which players played the same position as ardo kreek?,Siim Ennemuist|Andri Aganits,csv/203-csv/116.csv,nt-9,,,
how many times did an italian cyclist win a round?,6,csv/204-csv/253.csv,nt-10,,,
what was the first venue for the asian games?,"Bangkok, Thailand",csv/203-csv/646.csv,nt-11,,,
what is the difference in the number of temples between imabari and matsuyama?,2,csv/204-csv/841.csv,nt-12,,,
what was the only year keene won class aa?,1999-2000,csv/204-csv/133.csv,nt-13,,,
which athlete was from south korea after the year 2010?,Kim Yu-na,csv/203-csv/104.csv,nt-14,,,
what was the venue when he placed first?,"New Delhi, India",csv/204-csv/706.csv,nt-15,,,
how many total points did the bombers score against the bc lions?,58,csv/204-csv/227.csv,nt-16,,,
which is the first city listed alphabetically?,Abbott,csv/204-csv/299.csv,nt-17,,,
how many movies have links to other wikipedia pages about them?,20,csv/201-csv/21.csv,nt-18,,,
in how many games did the winning team score more than 4 points?,3,csv/204-csv/475.csv,nt-19,,,
which album released by the band schnell fenster produced the most singles appearing on the australian peak chart?,The Sound Of Trees,csv/202-csv/184.csv,nt-20,,,
which model has the most in service?,KM-45 Series,csv/204-csv/430.csv,nt-21,,,
which ship in auckland had the fastest speed in knots?,Manawanui i,csv/203-csv/774.csv,nt-22,,,
what counties had the least participants for the race?,Morocco|France|Spain,csv/204-csv/849.csv,nt-23,,,
who ranked right after turkey?,Sweden,csv/203-csv/812.csv,nt-24,,,
what's the number of parishes founded in the 1800s?,4,csv/203-csv/36.csv,nt-25,,,
what club scored the only a total of 79 points?,Málaga CF,csv/204-csv/256.csv,nt-26,,,
in 1996 the sc house of representatives had a republican majority. how many years had passed since the last time this happened?,122,csv/203-csv/95.csv,nt-27,,,
which kind of computer can most of the games be played on?,Windows,csv/203-csv/580.csv,nt-28,,,
what is the total population in dzhebariki-khaya?,1694,csv/204-csv/6.csv,nt-29,,,
what was the average number of years served by a coach?,4,csv/203-csv/577.csv,nt-30,,,
how many beta versions were released before the first full release?,9,csv/203-csv/743.csv,nt-31,,,
which name is first on the chart,Jiang Qing,csv/204-csv/873.csv,nt-32,,,
what is the last constellation featured on this table?,Draco,csv/203-csv/569.csv,nt-33,,,
who was the top ranked competitor in this race?,Iryna Shpylova,csv/204-csv/552.csv,nt-34,,,
who is the other person who is 24 years old besides reyna royo?,Marisela Moreno Montero,csv/204-csv/144.csv,nt-35,,,
who was the top winner in 2002 of the division 1 undergraduate?,Princeton,csv/204-csv/879.csv,nt-36,,,
what is the total amount of processors that have both an integrated color display and an enhanced keyboard?,4,csv/203-csv/136.csv,nt-37,,,
how many consecutive friendly competitions did chalupny score in?,2,csv/204-csv/920.csv,nt-38,,,
how many finished all 225 laps?,8,csv/204-csv/946.csv,nt-39,,,
what was the number of silver medals won by ukraine?,2,csv/203-csv/175.csv,nt-40,,,
in what year did miss pokhara last win the miss nepal award?,1997,csv/204-csv/172.csv,nt-41,,,
what is the total number of popular votes cast in 2003?,"459,640",csv/203-csv/558.csv,nt-42,,,
which division three team also played in the division two season during the 1980s?,Seaford Town,csv/202-csv/73.csv,nt-43,,,
what is the difference in league debut date between farrell and carne?,1,csv/204-csv/387.csv,nt-44,,,
"what film was released before ""devakanya?""",Dhaasippen or Jothi Malar,csv/204-csv/961.csv,nt-45,,,
what is the largest penalty?,10,csv/204-csv/664.csv,nt-46,,,
who has the most and best score?,Shane Carwin,csv/204-csv/363.csv,nt-47,,,
what is the current total number of seats in the federal parliament?,630,csv/203-csv/698.csv,nt-48,,,
what number of games did new zealand win in 2010?,3,csv/203-csv/634.csv,nt-49,,,
who earned more medals--vietnam or indonesia?,Indonesia (INA),csv/204-csv/725.csv,nt-50,,,
how many competitions had a score of 1-0 at most?,4,csv/203-csv/652.csv,nt-51,,,
which club had the most losses?,RC Toulonnais,csv/203-csv/322.csv,nt-52,,,
what is the total number of pylons listed?,17,csv/203-csv/375.csv,nt-53,,,
does theodis or david play center?,Theodis Tarver,csv/204-csv/847.csv,nt-54,,,
what was whitney's best year for her album whitney in which she won the most rewards?,1987,csv/203-csv/799.csv,nt-55,,,
which member of the 500 club has the least amount of home runs?,Eddie Murray,csv/203-csv/611.csv,nt-56,,,
how many miss northern ireland winners have made it to the top 30 placement at miss world since 2000?,4,csv/203-csv/727.csv,nt-57,,,
how many games did at least 1500 people attend?,11,csv/204-csv/615.csv,nt-58,,,
what is the next model listed after disk'o?,Surf's Up,csv/203-csv/873.csv,nt-59,,,
how many matches were in may 2010?,2,csv/204-csv/260.csv,nt-60,,,
what is the total amount of senators i all departments?,36,csv/204-csv/246.csv,nt-61,,,
