question,answer,context,id,task,direction,size
List all items in Row 3,"A,K,U,S,U,J,R,E",csv/0-csv/item_3097.csv,nt0,item,row,"(8, 8)"
List all items in Col 12,"T,B,U,S,F,U,E,X,R,K,R,V",csv/0-csv/item_2389.csv,nt1,item,col,"(12, 12)"
List all items in Col 6,"E,H,I,Y,F,N,N,V",csv/0-csv/item_197.csv,nt2,item,col,"(8, 8)"
List all items in Col 4,"J,A,I,J",csv/0-csv/item_4920.csv,nt3,item,col,"(4, 4)"
List all items in Row 2,"K,L,O,H",csv/0-csv/item_1680.csv,nt4,item,row,"(4, 4)"
What is the maximum of Col 2?,9,csv/0-csv/arithmetic_1906.csv,nt5,arithmetic,col,"(6, 6)"
List all items in Col 7,"X,C,I,P,F,R,Y,J,O,B",csv/0-csv/item_1858.csv,nt6,item,col,"(10, 10)"
List all items in Row 3,"C,K,Q,S,V,Q",csv/0-csv/item_6851.csv,nt7,item,row,"(6, 6)"
What is the minimum of Col 1?,1,csv/0-csv/arithmetic_857.csv,nt8,arithmetic,col,"(8, 8)"
List all items in Row 1,"M,B,I,C,S,I,R,I,W,I,S,S",csv/0-csv/item_6689.csv,nt9,item,row,"(12, 12)"
List all items in Col 5,"X,W,Z,U,B,U,B,R,J,A,G,R",csv/0-csv/item_3929.csv,nt10,item,col,"(12, 12)"
List all items in Row 3,"B,U,J,X",csv/0-csv/item_5380.csv,nt11,item,row,"(4, 4)"
List all items in Col 11,"P,G,L,J,O,U,W,P,A,Z,W,Y",csv/0-csv/item_829.csv,nt12,item,col,"(12, 12)"
What is the minimum of Col 6?,1,csv/0-csv/arithmetic_3877.csv,nt13,arithmetic,col,"(8, 8)"
List all items in Row 2,"F,I,K,F,O,W,P,W,I,K,H,F",csv/0-csv/item_5394.csv,nt14,item,row,"(12, 12)"
What is the minimum of Row 1?,1,csv/0-csv/arithmetic_3863.csv,nt15,arithmetic,row,"(10, 10)"
List all items in Col 2,"V,F,V,K",csv/0-csv/item_6845.csv,nt16,item,col,"(4, 4)"
What is the maximum of Col 6?,9,csv/0-csv/arithmetic_843.csv,nt17,arithmetic,col,"(10, 10)"
List all items in Col 7,"F,A,N,P,J,H,E,X,K,I,C,Q",csv/0-csv/item_1694.csv,nt18,item,col,"(12, 12)"
What is the minimum of Row 2?,2,csv/0-csv/arithmetic_1912.csv,nt19,arithmetic,row,"(8, 8)"
List all items in Row 2,"U,Y,L,E,S,Y,D,Z,L,K",csv/0-csv/item_3083.csv,nt20,item,row,"(10, 10)"
List all items in Col 8,"U,R,C,X,F,Q,N,X,X,I",csv/0-csv/item_183.csv,nt21,item,col,"(10, 10)"
List all items in Row 1,"C,T,T,A,L,U,H,S,Z,T,D,O",csv/0-csv/item_4934.csv,nt22,item,row,"(12, 12)"
List all items in Col 10,"G,C,L,B,W,C,O,W,V,H,J,I",csv/0-csv/item_1864.csv,nt23,item,col,"(12, 12)"
What is the maximum of Col 2?,10,csv/0-csv/arithmetic_4842.csv,nt24,arithmetic,col,"(8, 8)"
What is the maximum of Col 5?,10,csv/0-csv/arithmetic_5584.csv,nt25,arithmetic,col,"(12, 12)"
What is the minimum of Col 5?,1,csv/0-csv/arithmetic_3693.csv,nt26,arithmetic,col,"(10, 10)"
List all items in Row 2,"R,C,T,F",csv/0-csv/item_3915.csv,nt27,item,row,"(4, 4)"
List all items in Row 2,"E,C,K,Z",csv/0-csv/item_815.csv,nt28,item,row,"(4, 4)"
What is the minimum of Row 6?,1,csv/0-csv/arithmetic_1084.csv,nt29,arithmetic,row,"(12, 12)"
What is the maximum of Col 3?,10,csv/0-csv/arithmetic_6933.csv,nt30,arithmetic,col,"(10, 10)"
List all items in Col 6,"T,V,E,V,P,X,E,J,Z,S,N,G",csv/0-csv/item_6879.csv,nt31,item,col,"(12, 12)"
What is the minimum of Col 1?,1,csv/0-csv/arithmetic_1090.csv,nt32,arithmetic,col,"(4, 4)"
What is the maximum of Row 5?,10,csv/0-csv/arithmetic_6927.csv,nt33,arithmetic,row,"(8, 8)"
What is the minimum of Row 4?,1,csv/0-csv/arithmetic_3687.csv,nt34,arithmetic,row,"(8, 8)"
List all items in Col 1,"O,J,R,H,S,W",csv/0-csv/item_3901.csv,nt35,item,col,"(6, 6)"
