question,answer,context,id,task,direction,size
What is the minimum of Row 9?,2,tables/arithmetic_10.tsv,nt-0,arithmetic,row,"(10, 10)"
What is the maximum of Col 8?,10,tables/arithmetic_10.tsv,nt-1,arithmetic,col,"(10, 10)"
What is the sum of Row 2?,40,tables/arithmetic_8.tsv,nt-2,arithmetic,row,"(8, 8)"
What is the maximum of Col 8?,9,tables/arithmetic_8.tsv,nt-3,arithmetic,col,"(8, 8)"
What is the minimum of Row 4?,1,tables/arithmetic_4.csv,nt-4,arithmetic,row,"(4, 4)"
What is the minimum of Col 3?,1,tables/arithmetic_4.csv,nt-5,arithmetic,col,"(4, 4)"
What is the maximum of Row 6?,4,tables/arithmetic_6.csv,nt-6,arithmetic,row,"(6, 6)"
What is the minimum of Col 3?,3,tables/arithmetic_6.csv,nt-7,arithmetic,col,"(6, 6)"
What is the sum of Row 9?,52,tables/arithmetic_12.tsv,nt-8,arithmetic,row,"(12, 12)"
What is the sum of Col 9?,67,tables/arithmetic_12.tsv,nt-9,arithmetic,col,"(12, 12)"
List all items in Row 9,"Y,T,N,R,M,G,D,J,U,R",tables/item_10.csv,nt-10,item,row,"(10, 10)"
List all items in Col 3,"L,H,H,H,Z,H,B,Q,N,J",tables/item_10.csv,nt-11,item,col,"(10, 10)"
What is the maximum of Row 1?,10,tables/arithmetic_10.html,nt-12,arithmetic,row,"(10, 10)"
What is the minimum of Col 2?,1,tables/arithmetic_10.html,nt-13,arithmetic,col,"(10, 10)"
List all items in Row 3,"D,K,D,B,K,A,Y,M,A,J,R,L",tables/item_12.csv,nt-14,item,row,"(12, 12)"
List all items in Col 7,"B,Z,Y,B,O,P,F,C,V,O,C,W",tables/item_12.csv,nt-15,item,col,"(12, 12)"
List all items in Row 3,"N,R,D,T,R,U",tables/item_6.csv,nt-16,item,row,"(6, 6)"
List all items in Col 1,"K,A,N,Y,D,U",tables/item_6.csv,nt-17,item,col,"(6, 6)"
List all items in Row 3,"S,K,Q,Q,I,P,R,O",tables/item_8.tsv,nt-18,item,row,"(8, 8)"
List all items in Col 1,"R,K,S,Z,N,J,Q,K",tables/item_8.tsv,nt-19,item,col,"(8, 8)"
List all items in Row 2,"Z,N,S,Y",tables/item_4.csv,nt-20,item,row,"(4, 4)"
List all items in Col 4,"I,Y,R,Q",tables/item_4.csv,nt-21,item,col,"(4, 4)"
List all items in Row 6,"O,S,E,K,I,Q",tables/item_6.html,nt-22,item,row,"(6, 6)"
List all items in Col 4,"J,B,G,S,X,K",tables/item_6.html,nt-23,item,col,"(6, 6)"
